"","x"
"1068","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1069","Bring ‘Do-Nothing Republican Congress’ - #Trump"
"1070","Andrea Bocelli backed out of Trumpfest.
ROFL!
https://t.co/xN5f8XKFHE
#trump #inauguration"
"1071","RT @StopTrump2020: I don't believe for a minute #Trump cares about anyone who is not a millionaire. He doesn't understand the struggles of…"
"1072","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1073","Even before taking office President #Trump is remarkable. Carrier, Ford, Boeing, IBM. #BuyAmerican #HireAmerican We love you President Trump"
"1074","I SHARED MY STORY: Submit complaints about Steve #Mnuchin #Trump’s nominee for Secretary of Treasury https://t.co/L7LxVeHyrY via @SenateDems"
"1075","RT @funder: @RepAdamSchiff we want to intro you to #TrumpLeaks-most complete archive of #Trump scandals-EVERYONE RT this let's show him we…"
"1076","RT @TheRickyDavila: Remember this ladies and gentlemen, whatever #Trump and his family do, where the travel, how they travel, it is all car…"
"1077","RT @Clark_Barrett84: If NATO was set up to keep the:
Americans in
Russians out
Germans down
Where now for the organization with #trump and…"
"1078","RT @KitDaniels1776: Prince Charles Ignores Family’s Pro-Nazi Past When Comparing #Trump to Hitler https://t.co/TFg93jJhvx @DRUDGE #altright…"
"1079","RT @CaptialBusLoan: RT - Matthew Lasner Daniel Goldstein Attacking @IvankaTrump #maga #trump @Bikers4Trump @HunterPresident https://t.co/6L…"
"1080","RT @JohnRMoffitt: #Trump &amp; #Putin are now in a pissing match over escalating the number &amp; size of nuclear weapons! How can this go more wro…"
"1081","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1082","RT @funder: Then I uncovered a $500,000 contribution-to same FL AG acct #Trump Foundation bribe went to. #TrumpLeaks #ThursdayThought #msnb…"
"1083","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1084","One of the BEST tweets EVER !<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #MAGA #LiberalLoons #LoveTrumpsHate my ASS<ed><U+00A0><U+00BD><ed><U+00B2><U+00A9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9> #Trump #PresidentElectTrump… https://t.co/s7qPhdVSk7"
"1085","RT @LVNancy: IMPOSSIBLE to vet #SyrianRefugees How do you screen without a databases? Rely on their word? #Taqiyya 
#islam
#TRUMP
https://t…"
"1086","Please be real news! Please! <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>. #maga #trump #drainthemedia #draintheswamp https://t.co/DamLdog49o"
"1087","Evan McMullin Takes a Jab at Newt Gingrich’s Apparent “Drain the Swamp” Misspeak https://t.co/34xO14sA7M #Trump #TCOT"
"1088","RT @funder: NEW #Trumpleaks-Donald &amp; Ivanka #Trump started selling her jewelry in Kuwait in 2012 #GrabYourWallet #theresistance #wintersols…"
"1089","RT @funder: Jared Kushner also has his own foundation, the ""Kushner Companies Charitable Foundation"" a sponsor of Eric #Trump's Foundation…"
"1090","RT @true_pundit: VIDEO: Highlights From the Anti-Trump Electoral College Tantrums #Trump #TruePundit

https://t.co/uKsDv4x0Q0"
"1091","RT @StopTrump2020: I don't believe for a minute #Trump cares about anyone who is not a millionaire. He doesn't understand the struggles of…"
"1092","Bring ‘Do-Nothing Republican Congress’ - #Trump"
"1093","@revisionfour there you go again, contradicting your own stances. #trump cabinet members wants to abolish net neutrally will only increase.."
"1094","putin declares russia's military the best in the world. could it be because he's counting on comrade #trump's troops #impeachtrump"
"1095","OMG! After all the work Obama did on de-escalating nukes/nuclear war, #Trump is goading nations to engage #WWIII"
"1096","#Trump would HAVE to pay a retirement salary to anyone who performed at his inauguration. They'd FOREVER be pariah. #Inauguration2017 #CNN"
"1097","RT @JerryCallaio: Biggest Threat 2 America &amp; Democracy Is The #Fascist #Republican Party&gt; Founding Fathers Warned Us That #Domestic #Terror…"
"1098","@deray @MrJamesonNeat then let all these white supremacists and #Trump go live on an island somewhere, they (cont) https://t.co/5Y98c2cn4Q"
"1099","RT @allenlafrance: The medias .....When tit-criss  Trudeau is caught doing something  wrong  they all jumped on #Trump  to create a diversi…"
"1100","RT @BuckTrump16: VOTE Ken Buck and #TRUMP to MAKE CO-04 GREAT AGAIN! https://t.co/jNhLg3HPat"
"1101","RT @EnviroNews: Interception! #Trump Just Picked Off The #Nuclear Football: The Ominous Black Briefcase That Follows @POTUS 24/7 https://t.…"
"1102","RT @funder: #Trump must divest all his businesses-Congressman Adam Schiff explains why &amp; the Constitutions Emoluments Clause #TrumpLeaks #a…"
"1103","RT @DaysOfTrump: 29 Days to #Trump : Counting down to Inauguration Day and @DaysOfTrump in the White House! #MakeAmericaGreatAgain https://…"
"1104","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1105","RT @funder: #Trump must divest all his businesses-Congressman Adam Schiff explains why &amp; the Constitutions Emoluments Clause #TrumpLeaks #a…"
"1106","RT @rollingitout: Before Matt Lasner could delete I scored his phone number &amp; information. Have Fun! #JetBlue #MAGA #Trump https://t.co/vcs…"
"1107","RT @carrieksada: After all of her hard work on the #Trump campaign, @KellyannePolls will be serving as Counselor to the President. Bravo Ke…"
"1108","Yah #Wikileaks Still waiting for those #Trump #taxreturns that show complete #conflictsofinterest everywhere? How much you paid for silence?"
"1109","Bring Back That ‘Do-Nothing Republican Congress’ - #Trump"
"1110","Trump's call for more nukes brings us that much closer to war. #resist #nevermypresident #notmypresident #rt #trump"
"1111","At this point, when I find out someone voted #Trump, I immediately cut them off. Zero respect nor patience for thes… https://t.co/g3aaeftfOn"
"1112","Here's What Each Member Of #Trump's $4.5 Billion #Cabinet Is Worth via @forbes https://t.co/QYmHLFK9b5"
"1113","RT @BrotherJamesKey: #AntichristTrump Called Messiah, Televangelists Say 2017 The Year https://t.co/vszLIJA9Wi
 #Antichrist #Trump #NeverTr…"
"1114","RT @TBIMobile: #SometimesTwitterMakesMe crazy.I tried to file a complaint but there's no choice for #Trump using Twitter to threaten humani…"
"1115","‘Galaxy on Fire 3 – Manticore’: Top 10 Tips &amp; Cheats You Need to Know https://t.co/rFKER2oH2J #election2016 https://t.co/7ErLTsOIHT"
"1116","RT @rollingitout: Before Matt Lasner could delete I scored his phone number &amp; information. Have Fun! #JetBlue #MAGA #Trump https://t.co/vcs…"
"1117","THIS:
ROFLMAO!
#Hillary Actually - #SNL (video) https://t.co/5gaNeBzBsd via @YouTube #HillaryClinton #trump
@nbcsnl… https://t.co/WvdSxNEIJU"
"1118","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1119","#TRUMP #GINGRICH  'DRAIN THE SWAMP' THIS IS 'YOUR AMERICA TODAY' UNDER THE CONTROL OF F'KN #IDIOT #FOOLS 
https://t.co/Rs36X8Aqrw"
"1120","Trump chooses Sean Spicer for press secretary, rounds out communications staff -… https://t.co/ZK4RJTXdw6 #TRUMP… https://t.co/fphgEcuSh5"
"1121","RT @funder: Breaking:Putin's bank-Sberbank-was cosponsor of Miss Universe with a #Russian billionaire who's won awards from #Trump &amp; #Putin…"
"1122","Trump's Secret Steak Recipe

https://t.co/npHlr90zIy

#trump #donaldtrump #thedonald #steak https://t.co/RsmmNPCBLz"
"1123","RT @JacloPac: #Trump: It's official, let's get started we've got a lot to divvy up.. https://t.co/e4JKBC7Fy2"
"1124","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1125","RT @Azfitchic: @TuckerCarlson Get him on your show? #ThursdayThought #MAGA #TRUMP https://t.co/aodxIavFMk"
"1126","Bring ‘Do-Nothing Republican Congress’ - #Trump youtube"
"1127","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1128","President elect Donald Trump calls for more nuclear weapons. #Trump #DonaldTrump https://t.co/9H8r0dnaTN"
"1129","RT @RonanLTynan: #Trump 1st ME war  getting #Obama veto #UNSC condemning #Israel/i illegal settlements making #2StateSol impossible? https:…"
"1130","Dobbs: The Left Has Been Reduced to Irrelevancy.
#Trump #GOP #DNC #USpolitics 
https://t.co/QKP9tCwFax"
"1131","@BernieSanders #Trump is the #Swamp"
"1132","RT @rollingitout: Before Matt Lasner could delete I scored his phone number &amp; information. Have Fun! #JetBlue #MAGA #Trump https://t.co/vcs…"
"1133","Bring ‘Do-Nothing Republican Congress’ - #Trump https://t.co/nKheMfJ7DX"
"1134","RT @TheAdvocateMag: Another fashion icon refuses to get on #Trump train: https://t.co/4FpS4DxAwh @voguemagazine https://t.co/6HSoTkiNdS"
"1135","RT @funder: Then I uncovered a $500,000 contribution-to same FL AG acct #Trump Foundation bribe went to. #TrumpLeaks #ThursdayThought #msnb…"
"1136","@UMLSeaLion @kristilade @GeorgeTakei Wow! you do know the truth. Can't believe you said it on #Twitter. Good for you! #Trump is doing this!"
"1137","Send your news out to over 4 million followers. https://t.co/rSONnxwCZa #social #business #news #networks… https://t.co/Sz9PHm5H5G"
"1138","RT @rafshmatko: <U+2714> The way to the victory! #Shmatko about #RealDonaldTrump #MakeAmericaGreatAgain #AlwaysTrump #Trump #USA #Ukraine https://…"
"1139","RT @JohnRMoffitt: #Trump &amp; #Putin are now in a pissing match over escalating the number &amp; size of nuclear weapons! How can this go more wro…"
"1140","Bring ‘Do-Nothing Republican Congress’ - #Trump"
"1141","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1142","EPA Says #Fracking Harmful to Drinking #Water – Will #Trump Listen? – The Big Picture: The Ring of Fire https://t.co/QYUgHHOdWK #environment"
"1143","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1144","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1145","#Trump's view is that companies are leaving the US, but @ianbremmer says there are less jobs in the country due to… https://t.co/ZIBNXYUEA5"
"1146","RT @aerdt: Donald #Trump and Vladimir #Putin agree: Let's revive the nuclear arms race | By @pbump
https://t.co/M7kh3OT9lY"
"1147","RT @funder: NEW #Trumpleaks-Donald &amp; Ivanka #Trump started selling her jewelry in Kuwait in 2012 #GrabYourWallet #theresistance #wintersols…"
"1148","RT @CaptialBusLoan: RT - Matthew Lasner Daniel Goldstein Attacking @IvankaTrump #maga #trump @Bikers4Trump @HunterPresident https://t.co/6L…"
"1149","RT @Sputnik_Not: #Putin and #Trump agree the best way to support nuclear non-proliferation efforts is to get more #nuclear weapons https://…"
"1150","RT @funder: #Trump must divest all his businesses-Congressman Adam Schiff explains why &amp; the Constitutions Emoluments Clause #TrumpLeaks #a…"
"1151","Post-#Election2016 Parties Switch Places on Assessment of Their Futures
https://t.co/JxzIMpOic3 #democrats… https://t.co/9mo7yyj9Nb"
"1152","Let's expand #Nuclearproliferation, that will bring nations to their senses about #nuclear weapons. #Trump #Braindead"
"1153","RT @EdmondScofield: Remember, Barry Da Marxist Bozo says #ClimateChange is our worst threat.  #Berlin #Trump #MAGA #GOP https://t.co/GjRmlO…"
"1154","#liberals #Democrats r calling Conservatism n Whites racist. They're the racist, conduct harassment on #Republican supporters. #MattLasner"
"1155","RT @LessGovMoreFun: . For all the Truthtellers who said #Trump would win, this is for all of us.
#America
#MAGA
appsame https://t.co/kmFYfG…"
"1156","RT @LVNancy: ""Kellyanne Conway"" Breaking the Glass Ceiling <U+2B50><U+FE0F>

#ThursdayThought women in powerful positions.. <ed><U+00A0><U+00BD><ed><U+00B1><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>

#TRUMP
#MAGA

https://t.…"
"1157","RT @ProgPoli: The next time someone tells me there are no manufacturing jobs in America... #Trump #Obama https://t.co/0cWB1bftv7"
"1158","#Trump &amp; #Putin will destroy humanity! Crazy idiots! https://t.co/P5L1Ret8IN"
"1159","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1160","RT @rollingitout: Before Matt Lasner could delete I scored his phone number &amp; information. Have Fun! #JetBlue #MAGA #Trump https://t.co/vcs…"
"1161","WHAT THE HECK , THE PRO VIOLENCE AND TERROR #NRC SPOKESPERSON at  #WhiteHouse #trump cabinet full of milliners need… https://t.co/FgKgmToUhe"
"1162","It was at this moment that anyone with more than two brain cells absolutely knew an actual lunatic had been elected… https://t.co/auUMktiR05"
"1163","TY #MattLasner &amp; ur husband for NOT normalizing #bigotry of #trump family (#kushner), #republicans (#pence).… https://t.co/nTmq6wWgB4"
"1164","RT @ChadGayle: ""To abandon facts is to abandon freedom."" Read @TimothyDSnyder post, strategies for #TheResistance {#Resist #trump} https://…"
"1165","RT @rollingitout: Before Matt Lasner could delete I scored his phone number &amp; information. Have Fun! #JetBlue #MAGA #Trump https://t.co/vcs…"
"1166","RT @JohnRMoffitt: #Trump &amp; #Putin are now in a pissing match over escalating the number &amp; size of nuclear weapons! How can this go more wro…"
"1167","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1168","RT @likeagirlinc: As #Trump Signals #Climate Action Pullback, Local Leaders Push Forward https://t.co/bQGuUOTNiw"
"1169","RT @XTraceyAnn: #MerryChristmas to all my friends out there! <ed><U+00A0><U+00BC><ed><U+00BE><U+0084> #jesusisthereasonfortheseason #ThursdayThought #MAGA #Trump #PresidentElectT…"
"1170","RT @funder: @RepAdamSchiff we want to intro you to #TrumpLeaks-most complete archive of #Trump scandals-EVERYONE RT this let's show him we…"
"1171","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1172","RT @CaptialBusLoan: RT - Matthew Lasner Daniel Goldstein Attacking @IvankaTrump #maga #trump @Bikers4Trump @HunterPresident https://t.co/6L…"
"1173","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1174","#Trump is not the leader of the free world and he can't be. He is the head honcho for oligarchs and Nazis world wide. Europe is on its own"
"1175","Good news: since both #Trump &amp; #Putin want to ""strengthen capabilities"" of nuclear arsenal, they'll save a few bucks by shopping together"
"1176","Bring ‘Do-Nothing Republican Congress’ - #Trump"
"1177","This Store Is Selling #Gold-Plated #Trump iPhones for $151,000
https://t.co/DPKjcxNF6X"
"1178","#Donald Trump Is the #StockMarket's Most Interesting Man https://t.co/29yY6iw88J"
"1179","RT @carol_varham: MEXICO URGES ILLEGAL ALIEN INVADERS TO APPLY FOR CITIZENSHIP BEFORE #TRUMP TAKES OFFICE #o4a #news https://t.co/7L56q0s8K…"
"1180","RT @Annimallover: #trump camp knew about #Weiner emails before it was released 2 public a violation of #hatch act https://t.co/D0Am4aZHnJ"
"1181","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1182","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"1183","RT @JohnRMoffitt: #Trump &amp; #Putin are now in a pissing match over escalating the number &amp; size of nuclear weapons! How can this go more wro…"
"1184","RT @TheRickyDavila: Since Sean Spicer only knows how to create false stories and bend reality to best fit #Trump, I'm not shocked he was ma…"
"1185","THIS IS WHY WE ELECTED #trump Boeing CEO says he'll build Air Force Ones for less than $4 billion after 1 meeting… https://t.co/WoX6Iuq2Tx"
"1186","States Won By #Trump Have Highest 'Obamacare' Enrollment - ABC News - https://t.co/YLj9njQp20 via @ABC"
"1187","RT @SputnikInt: New #ArmsRace? #Trump tweets US must 'greatly' expand #nuclear arsenal https://t.co/4BiLhPUjBx https://t.co/srm0lYr2xa"
"1188","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1189","Bring ‘Do-Nothing Republican Congress’ - #Trump"
"1190","‘Pokemon Go’ Version 1.21.2: What Did the Update Change? https://t.co/bv7tz0CAwM #election2016 https://t.co/Ku6caiBWjq"
"1191","RT @funder: @RepAdamSchiff this is the file of ACTIVE #Trump companies in 30+ countries!

RT to show the congressman WE HAVE THE PROOF HERE…"
"1192","@commondreams claims ""Nearly Half #Trump Voters to Support His Attack on #FreePress""  While Obama/Google/FBook/twitter CENSOR! WTF!"
"1193","@realDonaldTrump please delete your twitter account before you get us all killed.  #DumbAssPEOTUS #Trump #CantEvenRightNow #dumbdumb"
"1194","#TCOT #Trump ISIS Releases Hit List of Churches – in NY, California, Florida, Texas – to Target for Christmas https://t.co/iazHU1KR58"
"1195","RT @EdmondScofield: Remember, Barry Da Marxist Bozo says #ClimateChange is our worst threat.  #Berlin #Trump #MAGA #GOP https://t.co/GjRmlO…"
"1196","The rich will get rich beyond their wildest dreams under the #Trump administration. The rest of us no so much :(… https://t.co/n3MGbrtxGd"
"1197","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1198","Send your news out to over 4 million followers. https://t.co/1xX1T9St98 #social #business #news #networks… https://t.co/ZZ1d8lWVRq"
"1199","How #Brexit and #Trump have affected the cost of cloud software. https://t.co/ptohqYFCt0 https://t.co/4GOAsJE1qw"
"1200","#Putin &amp; #Trump call for MORE #NUKS! Thrs only one reason for NUKS &amp; thats to USE THEM on someone! Is this really where we are headed now?"
"1201","RT @JohnRMoffitt: #Trump &amp; #Putin are now in a pissing match over escalating the number &amp; size of nuclear weapons! How can this go more wro…"
"1202","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1203","RT @funder: #Trump must divest all his businesses-Congressman Adam Schiff explains why &amp; the Constitutions Emoluments Clause #TrumpLeaks #a…"
"1204","#MAGA #TRUMP #TRUMP #Christmas Ornament #Anonymous  #tcot #optrump https://t.co/DknhUAkUtY"
"1205","Bring ‘Do-Nothing Republican Congress’ - #Trump"
"1206","RT @Warhammerlass: ""The nation is soon to be under the aegis of an unstable, unqualified, undignified demagogue"" #TheResistance #trump
http…"
"1207","RT @fixit_fitz: in anticipation of a #trump tweetstorm over not having the top headline.    #OprahandFLOTUS https://t.co/rsthOngXcE"
"1208","RT @drudgeheadlines: #TRUMP #FLEXES #NUKE STRENGTH https://t.co/xszKEM78Uj"
"1209","RT @RT_com: #JetBlue removes passengers for 'harassing' #Ivanka #Trump  https://t.co/fMUHsjTVuu"
"1210","RT @drudgeheadlines: #Trump calls for expanded #US #nuke capability until 'world comes to its senses'... https://t.co/hVmfNVw1Y7"
"1211","RT @JohnRMoffitt: #Trump &amp; #Putin are now in a pissing match over escalating the number &amp; size of nuclear weapons! How can this go more wro…"
"1212","RT @SputnikInt: #Mystery military flights over #Manhattan were #Trump rescue drill https://t.co/iFMm6pyTzk https://t.co/pTpplH6zxa"
"1213","RT @funder: NEW #Trumpleaks-Donald &amp; Ivanka #Trump started selling her jewelry in Kuwait in 2012 #GrabYourWallet #theresistance #wintersols…"
"1214","What's really going on? https://t.co/WqaE9SEWkM #fakenews #Trump"
"1215","RT @funder: RT if you think a federal investigation needs to be done IMMEDIATELY on these #Trump bribes #TrumpLeaks

#msnbc #cnn #amjoy #th…"
"1216","RT @JohnRMoffitt: #Trump &amp; #Putin are now in a pissing match over escalating the number &amp; size of nuclear weapons! How can this go more wro…"
"1217","RT @RedApplePol: Words like ""whit"" are well beyond #Trump iQ https://t.co/VcP2yRhDyA"
"1218","RT @funder: Jared Kushner also has his own foundation, the ""Kushner Companies Charitable Foundation"" a sponsor of Eric #Trump's Foundation…"
"1219","RT @actlightning: Donald #Trump sides with #Israel against U.N. resolution, calls for veto of anti-settlement demand

https://t.co/TeAC9FFW…"
"1220","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"1221","RT @DaysOfTrump: 29 Days to #Trump : Counting down to Inauguration Day and @DaysOfTrump in the White House! #MakeAmericaGreatAgain https://…"
"1222","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
"1223","Bring Back That ‘Do-Nothing Republican Congress’ - #Trump"
"1224","América vs. Tigres Live Stream: How to Watch Online For Free https://t.co/8WhwJvqwcV #election2016 https://t.co/lClEkROIfa"
"1225","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"1226","RT @funder: RT if you think a federal investigation needs to be done IMMEDIATELY on these #Trump bribes #TrumpLeaks

#msnbc #cnn #amjoy #th…"
"1227","RT @immigrant4trump: Nate Silver TERRIBLE Election Day Prediction “WRONG about everything this Year!” @NateSilver538 #Trump #Maga https://t…"
"1228","RT @Sputnik_Not: #Putin and #Trump agree the best way to support nuclear non-proliferation efforts is to get more #nuclear weapons https://…"
"1229","@realDonaldTrump ""we will rape the women until someone understands how bad it is and tells us to stop. #MAGA #nuke #trump #areyounuts"
"1230","RT @ProgPoli: I love how #Obama is dismantling every program #Trump could possibly use to carryout his agenda. #Resist https://t.co/fYO7T3T…"
"1231","RT @TheRickyDavila: Remember this ladies and gentlemen, whatever #Trump and his family do, where the travel, how they travel, it is all car…"
"1232","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"1233","RT @funder: Then I uncovered a $500,000 contribution-to same FL AG acct #Trump Foundation bribe went to. #TrumpLeaks #ThursdayThought #msnb…"
"1234","Bring ‘Do-Nothing Republican Congress’ - #Trump engadget"
"1235","Drain the swamp? LOL . Trump Picks G.O.P. Veterans for White House Posts https://t.co/GdDxdVgqZk #news #trump"
"1236","Do the Southern Baptist Convention's Resolutions Contain a Partisan Caveat? - #tcot #MAGA #Trump https://t.co/OkXAIMBHF4"
"1237","#realdonaldtrump American Vision #military #army #navy #usmc #airforce #veterans #trump #trumptrain #votetrump2016 https://t.co/3NSlrwzDOR"
"1238","Kellyanne Conway: Queen of the Comebacks - #tcot #MAGA #Trump https://t.co/zujcBuRkLH"
"1239","Following #Putin's initiative, #Trump is considering expanding the nuclear capability of the US military @bpolitics https://t.co/CH8MJ0fAAv"
"1240","@SenSanders exactly ,that's why we elected #Trump https://t.co/nMZeF9AE9p"
"1241","The latest The nick clegg daily! https://t.co/nB7DrOIIg3 Thanks to @ivisbohlen @justynapawlak @NStarFan #trump #politics"
"1242","Its full no more positions to fill . #trump has broken all records for putting in swamp rats https://t.co/QKZcrfdMZV"
"1243","Bring ‘Do-Nothing Republican Congress’ - #Trump https://t.co/osKQlmEsSJ"
"1244","https://t.co/J6pqknAkDm to paraphrase Wilde, I can resist anything except Keith Olbermann. Skewering #Trump the crook."
"1245","‘Pokemon Go’ Apple Watch: Can You Catch Pokemon Without Using the iPhone? https://t.co/dIBxY4TAB5 #election2016 https://t.co/u6OgiBwIHw"
"1246","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
"1247","RT @SputnikInt: New #ArmsRace? #Trump tweets US must 'greatly' expand #nuclear arsenal https://t.co/4BiLhPUjBx https://t.co/srm0lYr2xa"
"1248","TRUMP DAILY: Europe, Turkey attacks prove me right: Donald Trump - Times of India #Trump https://t.co/ARUDALB7v6"
"1249","RT @TrumpSuperPAC: U.S. Constitution doesn't guarantee accepting everyone into the U.S. It's a privilege that is offered. #MAGA #TRUMP http…"
"1250","RT @steve_hanke: #US Economic Confidence Surges To Highest Level Gallup Has Ever Recorded: press would have us believe #Trump will be a dis…"
"1251","RT @funder: NEW #Trumpleaks-Donald &amp; Ivanka #Trump started selling her jewelry in Kuwait in 2012 #GrabYourWallet #theresistance #wintersols…"
"1252","TRUMP DAILY: Trump on Free Speech and Freedom of the Press #Trump https://t.co/TMM6SIQTha"
"1253","Donald Trump and Vladimir Putin agree: Let's revive the nuclear arms race https://t.co/UVHCWiOqhl How is this a good idea? #Trump"
"1254","TRUMP DAILY: Obama helped bring back economy, restless voters chose Trump #Trump https://t.co/B0yjmANzNv"
"1255","Not saying #Trump is turning America into another shady business, but apparently he's offering free Ginsu steak knives with any bribe."
"1256","TRUMP DAILY: Trump denounces attack, vows tough immigration plan #Trump https://t.co/r2qM6cjME7"
"1257","TRUMP DAILY: Eric Trump stops fundraising for his charity after scrutiny #Trump https://t.co/wCQAagAlFK"
"1258","Bring ‘Do-Nothing Republican Congress’ - #Trump"
"1259","RT @BeSafe2017: Dear 2017, 

Thank God your here!

Nothing can be worse than the last 8 years!

#MAGA
#AmericaFirst
#Trump
#HesMyPresident…"
"1260","RT @lissie_nielson: #Hillary Supporter Arrested For Arson Hate Crime Intended To Demonize #Trump Supporters #o4a #news https://t.co/i6rO0aq…"
"1261","Send your news out to over 4 million followers. https://t.co/jPENNJ94Hk #social #business #news #networks… https://t.co/nUD4gnHJnf"
"1262","RT @johnnywehrung: Hats off to ""White Supremacy"" for becoming so diverse<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #HateHoax @AnnabelleBakerF #MAGA #Trump #FakeNews <ed><U+00A0><U+00BD><ed><U+00BA><U+0082><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><U+2603><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BF><U+0081> https:…"
"1263","#Trump? Housing? The TSX? ... What one story shaped this year? BNN personalities weigh in: https://t.co/SWQRAitNgY https://t.co/Ybq6nnEDgN"
"1264",".@WashTimes :#Iran brutalizing #Aleppo,executing 'most atrocious war crimes' of 21st century:https://t.co/6sTIiZdnjd … #Europe #UNSC #Trump"
"1265","Time to bring back the duck and cover drill we used to do back in the 60's! Way to scare little kids before Xmas,… https://t.co/gPdFJQcsRX"
"1266","RT @Sputnik_Not: #Putin and #Trump agree the best way to support nuclear non-proliferation efforts is to get more #nuclear weapons https://…"
"1267","Putting America back to work LOLZ #trump #republicanlogic https://t.co/ugjZVdS15G"
"1268","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"1269","RT @tisiphone09: Is 'Threads' trending yet? #Trump"
"1270","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
"1271","""The nation is soon to be under the aegis of an unstable, unqualified, undignified demagogue"" #TheResistance #trump
https://t.co/dje8l2khNY"
